Alter;A;E;C;B;F;D;G;M;J;H;N;K;I;O;L
76;0.067433;0.066703;0.113724;0.038749;0.038749;0.067226;0.053091;0.052726;0.090475;0.06636375;0.0659075;0.11309375;0.0796365;0.079089;0.1357125
77;0.07416;0.073706;0.12288;0.043937;0.043937;0.074777;0.0590485;0.0588215;0.0988285;0.07381063;0.07352688;0.12353563;0.08857275;0.08823225;0.14824275
78;0.081806;0.081676;0.133087;0.049993;0.049993;0.08331;0.0658995;0.0658345;0.1081985;0.08237438;0.08229313;0.13524813;0.09884925;0.09875175;0.16229775
79;0.090478;0.090478;0.144342;0.057024;0.057024;0.093041;0.073751;0.073751;0.1186915;0.09218875;0.09218875;0.14836438;0.1106265;0.1106265;0.17803725
80;0.100261;0.100261;0.156741;0.065113;0.065113;0.103895;0.082687;0.082687;0.130318;0.10335875;0.10335875;0.1628975;0.1240305;0.1240305;0.195477
81;0.111193;0.111193;0.17022;0.074288;0.074288;0.115842;0.0927405;0.0927405;0.143031;0.11592563;0.11592563;0.17878875;0.13911075;0.13911075;0.2145465
82;0.123283;0.123283;0.184594;0.08459;0.08459;0.128821;0.1039365;0.1039365;0.1567075;0.12992063;0.12992063;0.19588438;0.15590475;0.15590475;0.23506125
83;0.136498;0.136498;0.199761;0.096095;0.096095;0.142763;0.1162965;0.1162965;0.171262;0.14537063;0.14537063;0.2140775;0.17444475;0.17444475;0.256893
84;0.150887;0.150887;0.215667;0.109028;0.109028;0.157959;0.1299575;0.1299575;0.186813;0.16244688;0.16244688;0.23351625;0.19493625;0.19493625;0.2802195
85;0.1665;0.1665;0.232175;0.123611;0.123611;0.174454;0.1450555;0.1450555;0.2033145;0.18131938;0.18131938;0.25414313;0.21758325;0.21758325;0.30497175
86;0.183344;0.183344;0.249236;0.140022;0.140022;0.192354;0.161683;0.161683;0.220795;0.20210375;0.20210375;0.27599375;0.2425245;0.2425245;0.3311925
87;0.201323;0.201323;0.266645;0.158257;0.158257;0.211448;0.17979;0.17979;0.2390465;0.2247375;0.2247375;0.29880813;0.269685;0.269685;0.35856975
88;0.220284;0.220284;0.283943;0.178185;0.178185;0.231305;0.1992345;0.1992345;0.257624;0.24904313;0.24904313;0.32203;0.29885175;0.29885175;0.386436
89;0.240073;0.240073;0.30089;0.199669;0.199669;0.251658;0.219871;0.219871;0.276274;0.27483875;0.27483875;0.3453425;0.3298065;0.3298065;0.414411
90;0.260556;0.260556;0.317224;0.222504;0.222504;0.272021;0.24153;0.24153;0.2946225;0.3019125;0.3019125;0.36827813;0.362295;0.362295;0.44193375
91;0.281602;0.281602;0.332703;0.246453;0.246453;0.291929;0.2640275;0.2640275;0.312316;0.33003438;0.33003438;0.390395;0.39604125;0.39604125;0.468474
92;0.303079;0.303079;0.3471;0.271195;0.271195;0.310944;0.287137;0.287137;0.329022;0.35892125;0.35892125;0.4112775;0.4307055;0.4307055;0.493533
93;0.324872;0.324872;0.360234;0.295584;0.295584;0.327665;0.310228;0.310228;0.3439495;0.387785;0.387785;0.42993688;0.465342;0.465342;0.51592425
94;0.346887;0.346887;0.375363;0.319362;0.319362;0.345579;0.3331245;0.3331245;0.360471;0.41640563;0.41640563;0.45058875;0.49968675;0.49968675;0.5407065
95;0.369051;0.369051;0.399346;0.343441;0.343441;0.371634;0.356246;0.356246;0.38549;0.4453075;0.4453075;0.4818625;0.534369;0.534369;0.578235
96;0.391305;0.391305;0.423428;0.367818;0.367818;0.398012;0.3795615;0.3795615;0.41072;0.47445188;0.47445188;0.5134;0.56934225;0.56934225;0.61608
97;0.413938;0.413938;0.447918;0.392493;0.392493;0.424712;0.4032155;0.4032155;0.436315;0.50401938;0.50401938;0.54539375;0.60482325;0.60482325;0.6544725
98;0.437313;0.437313;0.473212;0.41746;0.41746;0.451729;0.4273865;0.4273865;0.4624705;0.53423313;0.53423313;0.57808813;0.64107975;0.64107975;0.69370575
99;0.461101;0.461101;0.498952;0.442716;0.442716;0.479058;0.4519085;0.4519085;0.489005;0.56488563;0.56488563;0.61125625;0.67786275;0.67786275;0.7335075
100;0.485304;0.485304;0.525142;0.468258;0.468258;0.506697;0.476781;0.476781;0.5159195;0.59597625;0.59597625;0.64489938;0.7151715;0.7151715;0.77387925
101;0.509924;0.509924;0.551783;0.494075;0.494075;0.534634;0.5019995;0.5019995;0.5432085;0.62749938;0.62749938;0.67901063;0.75299925;0.75299925;0.81481275
102;0.534957;0.534957;0.578872;0.520164;0.520164;0.562864;0.5275605;0.5275605;0.570868;0.65945063;0.65945063;0.713585;0.79134075;0.79134075;0.856302
103;0.560407;0.560407;0.60641;0.546514;0.546514;0.591377;0.5534605;0.5534605;0.5988935;0.69182563;0.69182563;0.74861688;0.83019075;0.83019075;0.89834025
104;0.586265;0.586265;0.634391;0.573114;0.573114;0.620161;0.5796895;0.5796895;0.627276;0.72461188;0.72461188;0.784095;0.86953425;0.86953425;0.940914
105;0.612529;0.612529;0.662811;0.599953;0.599953;0.649203;0.606241;0.606241;0.656007;0.75780125;0.75780125;0.82000875;0.9093615;0.9093615;0.9840105
106;0.639188;0.639188;0.691659;0.627014;0.627014;0.678485;0.633101;0.633101;0.685072;0.79137625;0.79137625;0.85634;0.9496515;0.9496515;1.027608
107;0.666233;0.666233;0.720924;0.654283;0.654283;0.707993;0.660258;0.660258;0.7144585;0.8253225;0.8253225;0.89307313;0.990387;0.990387;1.07168775
108;0.693651;0.693651;0.750593;0.681741;0.681741;0.737705;0.687696;0.687696;0.744149;0.85962;0.85962;0.93018625;1.031544;1.031544;1.1162235
109;0.721425;0.721425;0.780647;0.709364;0.709364;0.767595;0.7153945;0.7153945;0.774121;0.89424313;0.89424313;0.96765125;1.07309175;1.07309175;1.1611815
110;0.749533;0.749533;0.811062;0.73713;0.73713;0.797641;0.7433315;0.7433315;0.8043515;0.92916438;0.92916438;1.00543938;1.11499725;1.11499725;1.20652725
111;0.77795;0.77795;0.841812;0.765011;0.765011;0.827811;0.7714805;0.7714805;0.8348115;0.96435063;0.96435063;1.04351438;1.15722075;1.15722075;1.25221725
112;0.806647;0.806647;0.872864;0.792974;0.792974;0.858069;0.7998105;0.7998105;0.8654665;0.99976313;0.99976313;1.08183313;1.19971575;1.19971575;1.29819975
113;0.835585;0.835585;0.904178;0.820987;0.820987;0.888382;0.828286;0.828286;0.89628;1.0353575;1.0353575;1.12035;1.242429;1.242429;1.34442
114;0.864722;0.864722;0.935707;0.849009;0.849009;0.918704;0.8568655;0.8568655;0.9272055;1.07108188;1.07108188;1.15900688;1.28529825;1.28529825;1.39080825
115;0.894008;0.894008;0.967397;0.876998;0.876998;0.94899;0.885503;0.885503;0.9581935;1.10687875;1.10687875;1.19774188;1.3282545;1.3282545;1.43729025
116;0.923382;0.923382;0.999182;0.904905;0.904905;0.979188;0.9141435;0.9141435;0.989185;1.14267938;1.14267938;1.23648125;1.37121525;1.37121525;1.4837775
117;0.952778;0.952778;1;0.932675;0.932675;1;0.9427265;0.9427265;1;1.17840813;1.17840813;1.25;1.41408975;1.41408975;1.5
118;0.982113;0.982113;1;0.960249;0.960249;1;0.971181;0.971181;1;1.21397625;1.21397625;1.25;1.4567715;1.4567715;1.5
119;1;1;1;0.987564;0.987564;1;0.993782;0.993782;1;1.2422275;1.2422275;1.25;1.490673;1.490673;1.5
120;1;1;1;1;1;1;1;1;1;1.25;1.25;1.25;1.5;1.5;1.5
121;1;1;1;1;1;1;1;1;1;1.25;1.25;1.25;1.5;1.5;1.5
